song name,artist,wav file location
Jobless Monday,Mitski,downloads/Jobless Monday - Mitski.wav
Me Voy,Julieta Venegas,downloads/Me Voy - Julieta Venegas.wav
Stargazing,Travis Scott,downloads/Stargazing - Travis Scott.wav
Didn't I,Darondo,downloads/Didn't I - Darondo.wav
hOaX,Taylor Swift,downloads/hOaX - Taylor Swift.wav
Kings & Queens,Ava Max,downloads/Kings & Queens - Ava Max.wav
Shot for Me,Drake,downloads/Shot for Me - Drake.wav
Intimidated (feat. H.E.R.),Kaytranada,downloads/Intimidated (feat. H.E.R.) - Kaytranada.wav
TOMORROW,"Tyler, the Creator","downloads/TOMORROW - Tyler, the Creator.wav"
Futile Devices (Doveman Remix),Sufjan Stevens,downloads/Futile Devices (Doveman Remix) - Sufjan Stevens.wav
Burn,Ellie Goulding,downloads/Burn - Ellie Goulding.wav
long story short,Taylor Swift,downloads/long story short - Taylor Swift.wav
Avril 14th,Aphex Twin,downloads/Avril 14th - Aphex Twin.wav
Give It To Me,Timbaland,downloads/Give It To Me - Timbaland.wav
TIEDUPRIGHTNOW,Parcels,downloads/TIEDUPRIGHTNOW - Parcels.wav
Stained,Selena Gomez,downloads/Stained - Selena Gomez.wav
Til Further Notice (feat. James Blake & 21 Savage),Travis Scott,downloads/Til Further Notice (feat. James Blake & 21 Savage) - Travis Scott.wav
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,downloads/Summer Bummer (feat. A$AP Rocky & Playboi Carti) - Lana Del Rey.wav
On BS,Drake,downloads/On BS - Drake.wav
Alternative Outro,Lucki,downloads/Alternative Outro - Lucki.wav
Jungle,Fred again..,downloads/Jungle - Fred again...wav
Conversations,Juice WRLD,downloads/Conversations - Juice WRLD.wav
Crush Culture,Conan Gray,downloads/Crush Culture - Conan Gray.wav
Clouds,BUNT.,downloads/Clouds - BUNT..wav
I'm Good (Blue),David Guetta,downloads/I'm Good (Blue) - David Guetta.wav
If You Can't Hang,Sleeping with Sirens,downloads/If You Can't Hang - Sleeping with Sirens.wav
No Sense,Justin Bieber,downloads/No Sense - Justin Bieber.wav
Free,Little Simz,downloads/Free - Little Simz.wav
Hidden Place,Björk,downloads/Hidden Place - Björk.wav
Please Please Please Let Me Get What I Want,2005 Remaster - Deftones,downloads/Please Please Please Let Me Get What I Want - 2005 Remaster - Deftones.wav
90210 (feat. Kacy Hill),Travis Scott,downloads/90210 (feat. Kacy Hill) - Travis Scott.wav
The Art of Peer Pressure,Kendrick Lamar,downloads/The Art of Peer Pressure - Kendrick Lamar.wav
I'm Not in Love,10cc,downloads/I'm Not in Love - 10cc.wav
Sunflower,Spider-Man: Into the Spider-Verse - Post Malone,downloads/Sunflower - Spider-Man: Into the Spider-Verse - Post Malone.wav
ART,Tyla,downloads/ART - Tyla.wav
Wolf In Sheep's Clothing (feat. William Beckett),Set It Off,downloads/Wolf In Sheep's Clothing (feat. William Beckett) - Set It Off.wav
Whiskey Glasses,Morgan Wallen,downloads/Whiskey Glasses - Morgan Wallen.wav
tough,Quavo,downloads/tough - Quavo.wav
Mr. Morale,Kendrick Lamar,downloads/Mr. Morale - Kendrick Lamar.wav
Level Of Concern,Twenty One Pilots,downloads/Level Of Concern - Twenty One Pilots.wav
Kryptonite,3 Doors Down,downloads/Kryptonite - 3 Doors Down.wav
Welcome To MY World (feat. nævis),aespa,downloads/Welcome To MY World (feat. nævis) - aespa.wav
Slow Down,Selena Gomez,downloads/Slow Down - Selena Gomez.wav
Attracted To You,pinkpantheress,downloads/Attracted To You - pinkpantheress.wav
Another Love,Tom Odell,downloads/Another Love - Tom Odell.wav
NUMB,xxxtentacion,downloads/NUMB - xxxtentacion.wav
Mascara,Deftones,downloads/Mascara - Deftones.wav
Glow Up,RESCENE,downloads/Glow Up - RESCENE.wav
See You Again (feat. Charlie Puth),Wiz Khalifa,downloads/See You Again (feat. Charlie Puth) - Wiz Khalifa.wav
"Oba, Lá Vem Ela",Jorge Ben Jor,"downloads/Oba, Lá Vem Ela - Jorge Ben Jor.wav"
96ers,HXW,downloads/96ers - HXW.wav
Go2DaMoon (feat. Kanye West),Playboi Carti,downloads/Go2DaMoon (feat. Kanye West) - Playboi Carti.wav
on the verge,Thrown,downloads/on the verge - Thrown.wav
Bullseye (with Hozier),Lucy Dacus,downloads/Bullseye (with Hozier) - Lucy Dacus.wav
